año,mes,dia,taxi,viajes_totales,distancia_total,distancia_prom,tarifa_total,tarifa_prom
2019,3,5,yellow,269066,779210.28,2.8959819523834303,5126094.37,19.05143856897564
2019,3,6,yellow,286294,817996.56,2.8571907200290614,5474076.62,19.12047273082915
2019,3,7,yellow,292402,851610.45,2.9124645180265523,5666104.01,19.377788147823885
2019,3,8,yellow,285949,831255.89,2.9070075083319056,5683079.48,19.874451318242063
2019,3,9,yellow,271784,758592.3,2.7911587878609487,4900004.9,18.02904107673741
2019,3,10,yellow,229004,720539.64,3.146406350980769,4253870.94,18.575531169761227
2019,3,11,yellow,236522,734693.41,3.1062370942237933,4615024.72,19.51203152349464
2019,3,12,yellow,268108,770066.33,2.8722243648082117,5091502.64,18.99049129455294
2019,3,13,yellow,271747,805985.39,2.965940341567708,5260795.07,19.35916521617534
2019,3,14,yellow,280567,845603.13,3.0139080148413746,5536479.67,19.733181985051697
2019,3,15,yellow,285663,848301.95,2.9695898663810154,6607638.83,23.13088789937794
2019,3,16,yellow,270547,794454.78,2.9364760281947317,5047207.7700000005,18.65556731362758
2019,3,17,yellow,225801,751742.49,3.32922568987737,4374944.98,19.37522411326788
2019,3,18,yellow,223149,720819.02,3.230213982585626,4374777.18,19.60473575951494
2019,3,19,yellow,239390,734273.73,3.067269852541877,4641444.5,19.388631521784536
2019,3,20,yellow,251355,774602.05,3.0817053569652484,4929154.55,19.610330210260383
2019,3,21,yellow,275227,803287.47,2.9186361439829667,5411971.62,19.6636653380664
2019,3,22,yellow,272647,804358.0,2.950181003275297,5376161.69,19.71839664474577
2019,3,23,yellow,255369,739049.8,2.8940466540574623,4620009.13,18.09150339312916
2019,3,24,yellow,209991,721033.8,3.4336414417760763,4151092.93,19.76795638860713
2019,3,25,yellow,213061,707306.9,3.3197389480008077,4220740.97,19.81001201533833
2019,3,26,yellow,241293,737755.08,3.057507180067387,4683466.14,19.409871566933145
2019,3,27,yellow,252027,773792.78,3.0702773115578887,4948742.48,19.63576315236066
2019,3,28,yellow,261555,807934.02,3.088964156678328,5186567.86,19.829740819330546
2019,3,29,yellow,257890,782299.3,3.033461165613246,5030457.74,19.50621482027221
2019,3,30,yellow,250539,737416.28,2.9433193235384514,4623036.11,18.452361149361977
2019,3,31,yellow,223358,729519.73,3.266145515271448,4231919.64,18.946801278664744
2019,4,1,yellow,234376,750109.92,3.200455336723897,4594962.89,19.605091348943574
2019,4,2,yellow,258809,777108.28,3.0026323659532705,4992863.84,19.29169325641689
2019,4,3,yellow,265134,802935.11,3.02841246313185,5197174.74,19.602068161759718
2019,4,4,yellow,278632,854785.86,3.067795012776709,5566132.51,19.976644857733497
2019,4,5,yellow,293969,845464.61,2.876033221189989,5699100.23,19.38673883980964
2019,4,6,yellow,261612,751052.2,2.870862957356696,4770841.7,18.23632593306117
2019,4,7,yellow,224139,762561.17,3.402179763450359,4392630.58,19.597796813584427
2019,4,8,yellow,230319,738528.45,3.2065459210920504,4537135.99,19.69935606702009
2019,4,9,yellow,261942,764596.18,2.9189522107947563,4993853.29,19.06472917668797
2019,4,10,yellow,262869,786336.75,2.991363568925967,5139846.42,19.55288154936489
2019,4,11,yellow,275971,828507.25,3.002153305963308,5442756.5200000005,19.722204579466684
2019,4,12,yellow,281308,818462.23,2.9094879278228847,5433018.65,19.31341678871557
2019,4,13,yellow,263597,765134.22,2.9026666464337607,4819153.6,18.28227787114421
2019,4,14,yellow,225143,729285.86,3.2392117898402346,4286080.22,19.037146258155925
2019,4,15,yellow,248457,743370.26,2.991947338976161,4788280.09,19.272067560986407
2019,4,16,yellow,255826,771775.64,3.0167990743708617,5036682.74,19.687923588689188
2019,4,17,yellow,267212,776365.51,2.9054290600721524,5203881.16,19.474728530155836
2019,4,18,yellow,269101,807436.96,3.0004978056566123,5405281.84,20.086442785422573
2019,4,19,yellow,243751,721414.26,2.959636104057009,4566383.15,18.733802733116995
2019,4,20,yellow,212393,607917.48,2.86222935784136,3760723.45,17.706437829871984
2019,4,21,yellow,186535,625137.78,3.351316267724556,3518598.24,18.86293853700378
2019,4,22,yellow,213415,668668.42,3.133183796827777,4208761.83,19.72102162453436
2019,4,23,yellow,236598,725249.58,3.0653242208302687,4628209.7,19.561491221396636
2019,4,24,yellow,243910,741287.05,3.0391826903366,4812547.0200000005,19.73083112623509
2019,4,25,yellow,268203,809069.62,3.016631506731841,5329622.25,19.87159819241396
2019,4,26,yellow,253058,748333.23,2.957160927534399,4987789.12,19.710062989512288
2019,4,27,yellow,252071,750979.68,2.9792387065548995,4708585.25,18.679599200225333
2019,4,28,yellow,222079,738771.39,3.326615258534125,4255709.3,19.16304243084668
2019,4,29,yellow,230003,736163.22,3.2006679043316826,4936914.24,21.46456454915805
2019,4,30,yellow,255204,778269.51,3.049597616024827,5027410.75,19.69957661321923
2019,5,1,yellow,270871,812134.26,2.9982325904212708,5337814.8100000005,19.706114017373583
2019,5,2,yellow,279100,840446.72,3.0112745252597635,5583812.0600000005,20.006492511644574
2019,5,3,yellow,277103,837546.04,3.0225080204833583,5473627.65,19.75304363359473
