Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
12190,45,1.0,243,UX 250h AWD,2019,,,41.0,39.0,Lexus,Sedan/Wagon,HYBR,Hybrid Electric,
12148,45,9.0,227,MKZ Hybrid FWD,2019,,,42.0,41.0,Lincoln,Sedan/Wagon,HYBR,Hybrid Electric,
12149,45,9.0,239,AMG CLS53 4MATIC+,2019,,,21.0,23.0,Mercedes-Benz,Sedan/Wagon,HYBR,Hybrid Electric,
12150,45,9.0,239,AMG E53 4MATIC+,2019,,,21.0,24.0,Mercedes-Benz,Sedan/Wagon,HYBR,Hybrid Electric,
12152,45,9.0,239,AMG E53 4MATIC+ (Convertible),2019,,,20.0,23.0,Mercedes-Benz,Sedan/Wagon,HYBR,Hybrid Electric,
12151,45,9.0,239,AMG E53 4MATIC+ (Coupe),2019,,,21.0,23.0,Mercedes-Benz,Sedan/Wagon,HYBR,Hybrid Electric,
12230,45,9.0,239,AMG GT 53 4MATIC+,2019,,,19.0,21.0,Mercedes-Benz,Sedan/Wagon,HYBR,Hybrid Electric,
12122,11,1.0,239,CLA 250 4Matic,2019,17.0,20.0,24.0,27.0,Mercedes-Benz,Sedan/Wagon,E85_GSLN,Ethanol (E85),
12153,45,9.0,239,CLS 450,2019,,,24.0,26.0,Mercedes-Benz,Sedan/Wagon,HYBR,Hybrid Electric,
12154,45,9.0,239,CLS 450 4MATIC,2019,,,23.0,26.0,Mercedes-Benz,Sedan/Wagon,HYBR,Hybrid Electric,
12123,11,5.0,239,GLA 250 4matic,2019,17.0,19.0,23.0,26.0,Mercedes-Benz,SUV,E85_GSLN,Ethanol (E85),
12167,57,1.0,239,GLC 350e 4MATIC,2019,,56.0,24.0,25.0,Mercedes-Benz,SUV,PHEV,Plug-in Hybrid Electric,
12401,57,9.0,239,S 560e,2019,64.0,,21.0,23.0,Mercedes-Benz,SUV,PHEV,Plug-in Hybrid Electric,
